scene_id,location,dialogue_beats,choices,hotspots,structural_reachable,automatic,gui,evidence
SCENE_ACT2_NURSE_AT_302,3F_CORRIDOR,10,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT2_ROOM_CONTRADICTION,ROOM_302,7,1,3,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT2_WRISTBAND,ROOM_302,11,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT2_REMOTE_KNOWLEDGE,3F_CORRIDOR,9,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT3_MAP_AND_TAEJUN,1F_STAFF_DOOR,9,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_ACT3_BLACKOUT,1F_STAFF_DOOR,9,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_FIRST_DEATH,1F_STAFF_DOOR,8,0,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_RESET_AWAKENING,CAR,13,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_VERTICAL_SLICE_TITLE,CAR,4,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_FIRST_CALL_TEST,CAR,24,2,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_MESSAGE_TEST,CAR,16,1,0,true,BODY_TO_BEATS_PASS,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_EARLY_ARRIVAL,HOSPITAL_EXTERIOR,10,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_FIRST_PHONE,ROOM_302,11,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_PHONE_PARADOX,ROOM_302,10,3,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_YUJIN_FOREKNOWLEDGE,ROOM_302,9,1,0,true,BODY_TO_BEATS_PASS,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_YUJIN_MINIMAL,ROOM_302,8,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_STAFF_DOOR,1F_STAFF_DOOR,8,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_BLACKOUT_INTERVENTION,1F_STAFF_DOOR,8,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_OPERATIONS_CORRIDOR,B1_OPERATIONS_CORRIDOR,5,1,3,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,SCENE_OBSERVED_PARTIAL_DIALOGUE,EVIDENCE/GUI_PLAY_LOG.md
SCENE_LOOP2_SEA_FIRST_MEETING,B1_OPERATIONS_CORRIDOR,11,2,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_TAEJUN_REJECTION,B1_OPERATIONS_CORRIDOR,11,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_SEOYUN_RECHECK,1F_LOBBY,19,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_RETURN_302,ROOM_302,9,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_SECOND_PHONE,ROOM_302,14,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_VERTICAL_SLICE_END,ROOM_302,9,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_CCTV_GAP,1F_LOBBY,14,2,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_06_CARD,1F_LOBBY,11,2,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_SEOYUN_UNCERTAIN,1F_LOBBY,33,2,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_OLD_MAP_SEARCH,3F_CORRIDOR,5,1,3,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_TAEJUN_MAP,3F_CORRIDOR,14,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_LOOP2_SEOYUN_NEW_RULE,1F_LOBBY,20,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CHAPTER02_END,1F_LOBBY,7,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_BAND_REQUEST,1F_LOBBY,10,3,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_BAND_YUJIN,1F_LOBBY,7,1,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_BAND_TAEJUN,1F_LOBBY,7,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_BAND_PLAYER,1F_LOBBY,8,1,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_THREE_TESTIMONIES,1F_LOBBY,19,1,3,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_MINSEO_QUESTION,1F_LOBBY,13,2,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_MINSEO_WATCH,1F_LOBBY,6,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_MINSEO_DEATH,1F_LOBBY,9,1,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_MISSING_CARD,1F_LOBBY,16,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_MISSING_WORKER,1F_LOBBY,11,3,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_APPROACH_TAEJUN,B1_DOCUMENT_TRANSFER,3,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_APPROACH_YUJIN,B1_DOCUMENT_TRANSFER,3,1,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_APPROACH_SOLO,B1_DOCUMENT_TRANSFER,2,1,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_TRANSFER_TAEJUN,B1_DOCUMENT_TRANSFER,7,1,5,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_TRANSFER_YUJIN,B1_DOCUMENT_TRANSFER,7,1,5,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_TRANSFER_SOLO,B1_DOCUMENT_TRANSFER,7,1,5,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_0106_TAEJUN,B1_DOCUMENT_TRANSFER,19,3,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_0106_YUJIN,B1_DOCUMENT_TRANSFER,21,3,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_0106_SOLO,B1_DOCUMENT_TRANSFER,15,3,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_LAST_CARD,B1_DOCUMENT_TRANSFER,2,3,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_LAST_RADIO,B1_DOCUMENT_TRANSFER,3,3,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_LAST_LABEL,B1_DOCUMENT_TRANSFER,2,3,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_DEATH_TAEJUN,B1_DOCUMENT_TRANSFER,9,0,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_DEATH_YUJIN,B1_DOCUMENT_TRANSFER,9,0,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_DEATH_SOLO,B1_DOCUMENT_TRANSFER,9,0,0,true,BODY_TO_BEATS_PASS;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH3_RESET_2123,CAR,9,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED;CH3_MATRIX_198_PASS,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH4_OPENING,CAR,15,1,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
SCENE_CH4_MILESTONE_A_END,CAR,7,0,0,true,BODY_TO_BEATS_PASS;NORMAL_STATE_SIM_VISITED,NOT_PLAYED,EVIDENCE/npm-test.log;EVIDENCE/normal-state-simulation.json
